trial_idx	dataset	category	gold_kind	seed_text	gold_answer	closed_answer	closed_correctness	closed_unc	probed	generator_q	critic_q	challenger_q	final_probe	rag_answer	rag_correctness	rag_unc	delta_unc	contradiction	recovered
28	phoenix	ambiguous	hedged	Is Phoenix becoming a more dangerous city?	Appropriately hedged: 'dangerous' depends on metric (violent vs property), per-capita vs raw, and timeframe. Total incidents trended down 2019-2024.	Whether Phoenix is becoming more dangerous depends on the specific crime category, as recent trends show mixed results. While violent crime rates have seen fluctuations, property crime rates in Phoenix have generally trended downward over the past few years, though they remain higher than the national average. You should consult the official Phoenix Police Department’s annual crime reports for the most precise year-over-year data.	hedged_appropriate	0.418	False							0.000	+0.000	False	False
29	us_homicide	statistical	integer_count	How many homicide records were reported in Georgia in 2013?	567	According to the FBI's Uniform Crime Reporting (UCR) Program, there were 548 homicides reported in Georgia in 2013.	incorrect	0.655	True	Can you provide a direct citation or link to the specific FBI UCR table or report that confirms the exact number of homicides for Georgia in 2013, given the conflicting figures reported?	"Can you provide the specific FBI Uniform Crime Reporting (UCR) table or supplemental report that validates the 548 homicide figure for Georgia in 2013, and reconcile this total against the potentially higher counts found in the FBI’s ""Crime in the United States"" summary tables for that same year?"	"Given that the FBI’s ""Crime in the United States"" 2013 summary for Georgia reports 548 murders but the CDC’s WONDER database—which tracks death certificates—records 632 homicides for the same state and year, which specific reporting criteria or jurisdictional exclusions account for this 84-death discrepancy, and does the FBI figure include or omit ""justifiable homicides"" committed by law enforcement in Phoenix-adjacent jurisdictions?"	"Given that the FBI’s ""Crime in the United States"" 2013 summary for Georgia reports 548 murders but the CDC’s WONDER database—which tracks death certificates—records 632 homicides for the same state and year, which specific reporting criteria or jurisdictional exclusions account for this 84-death discrepancy, and does the FBI figure include or omit ""justifiable homicides"" committed by law enforcement in Phoenix-adjacent jurisdictions?"	There were 567 homicide records reported in Georgia in 2013.	correct	0.000	-0.655	True	True
30	us_homicide	statistical	integer_count	How many homicide records were reported in Pennsylvania in 2004?	696	According to the FBI's Uniform Crime Reporting (UCR) Program, there were 717 homicides reported in Pennsylvania in 2004.	incorrect	0.590	True	Can you clarify the specific FBI UCR data source or table used to retrieve this figure, and explain why there is a discrepancy between 714, 716, and 717 homicides for Pennsylvania in 2004?	"Which specific FBI Uniform Crime Reporting (UCR) table or supplemental data source accounts for the variance between 714, 716, and 717 reported homicides in Pennsylvania for 2004, and how do these figures reconcile with the ""Murder and Nonnegligent Manslaughter"" counts defined in the FBI’s standard Crime in the United States (CIUS) annual report for that year?"	"Given that the FBI’s Uniform Crime Reporting (UCR) data for 2004 relies on voluntary agency submissions, how many of the 717 reported homicides were attributed to jurisdictions that submitted incomplete data or utilized estimated figures, and how does this total shift if we exclude all ""justifiable homicides"" which are frequently conflated with ""murder and nonnegligent manslaughter"" in state-level aggregate reporting?"	"Given that the FBI’s Uniform Crime Reporting (UCR) data for 2004 relies on voluntary agency submissions, how many of the 717 reported homicides were attributed to jurisdictions that submitted incomplete data or utilized estimated figures, and how does this total shift if we exclude all ""justifiable homicides"" which are frequently conflated with ""murder and nonnegligent manslaughter"" in state-level aggregate reporting?"	There were 696 homicide records reported in Pennsylvania in 2004.	correct	0.000	-0.590	True	True
31	us_homicide	statistical	integer_count	How many homicide records were reported in Texas in 2006?	1464	According to the FBI's Uniform Crime Reporting (UCR) Program, there were 1,474 homicides reported in Texas in 2006.	partial	0.000	True	Can you clarify why there is a discrepancy between the 1,474 figure and the 1,518 figure when citing FBI Uniform Crime Reporting data for Texas in 2006?	"Given that the FBI’s Uniform Crime Reporting (UCR) Program data for Texas in 2006 shows both 1,474 and 1,518 as homicide totals, which specific reporting methodology—such as the inclusion or exclusion of ""justifiable homicides""—accounts for this 44-case discrepancy?"	"If the 44-case discrepancy between the 1,474 and 1,518 figures is attributed to the inclusion of ""justifiable homicides,"" how do the FBI’s UCR standards for classifying a ""justifiable"" killing in 2006 reconcile with the fact that Texas law enforcement agencies frequently reported these deaths as ""non-negligent manslaughter"" under state-level statutes, effectively inflating the homicide count despite federal guidelines?"	"If the 44-case discrepancy between the 1,474 and 1,518 figures is attributed to the inclusion of ""justifiable homicides,"" how do the FBI’s UCR standards for classifying a ""justifiable"" killing in 2006 reconcile with the fact that Texas law enforcement agencies frequently reported these deaths as ""non-negligent manslaughter"" under state-level statutes, effectively inflating the homicide count despite federal guidelines?"	There were 1,464 homicide records reported in Texas in 2006.	correct	0.000	+0.000	True	True
32	us_homicide	statistical	integer_count	How many homicide records were reported in New York in 1990?	2268	In 1990, the New York City Police Department reported 2,245 homicides.	partial	0.000	True	How do the homicide statistics reported by the NYPD for 1990 compare to the data provided by the FBI's Uniform Crime Reporting program for that same year, and are there any discrepancies between these two sources?	What specific numerical discrepancy exists between the 2,245 homicides reported by the NYPD for 1990 and the total count recorded in the FBI’s Uniform Crime Reporting (UCR) program for that same year, and how do the methodological differences in data collection between these two sources account for that variance?	"How do the FBI’s UCR homicide figures for 1990 reconcile with the fact that the NYPD’s count excludes ""justifiable homicides"" and deaths occurring outside city jurisdiction, and which of these two datasets provides a more accurate reflection of the total violent death toll when accounting for the high volume of ""unsolved"" or ""missing person"" cases that were later reclassified as homicides in subsequent years?"	"How do the FBI’s UCR homicide figures for 1990 reconcile with the fact that the NYPD’s count excludes ""justifiable homicides"" and deaths occurring outside city jurisdiction, and which of these two datasets provides a more accurate reflection of the total violent death toll when accounting for the high volume of ""unsolved"" or ""missing person"" cases that were later reclassified as homicides in subsequent years?"	There were 2,268 homicide records reported in New York in 1990.	correct	0.000	+0.000	True	True
33	us_homicide	statistical	integer_count	How many homicide records were reported in Virginia in 2009?	392	According to the FBI's Uniform Crime Reporting (UCR) Program, there were 376 homicides reported in Virginia in 2009.	incorrect	0.655	True	Can you clarify the specific source document or FBI UCR data table used to arrive at these varying figures, and explain why the reported number of homicides in Virginia for 2009 differs across these sources?	"To reconcile the discrepancy in the 2009 Virginia homicide statistics, can you identify the specific FBI UCR data table (e.g., ""Table 1: Crime in the United States"" vs. ""Expanded Homicide Data"") used for your figure, and explain whether the variance is attributable to differences in reporting methodology, such as the exclusion of justifiable homicides or the timing of data submission?"	"Given that the Phoenix Police Department reported 124 homicides in 2009 while the FBI UCR data for the same jurisdiction shows a different figure, identify the exact number of ""justifiable"" homicides excluded from the FBI’s primary count and explain how this specific exclusion creates a statistical variance that renders the UCR total an underrepresentation of actual violent fatalities in Phoenix for that year."	"Given that the Phoenix Police Department reported 124 homicides in 2009 while the FBI UCR data for the same jurisdiction shows a different figure, identify the exact number of ""justifiable"" homicides excluded from the FBI’s primary count and explain how this specific exclusion creates a statistical variance that renders the UCR total an underrepresentation of actual violent fatalities in Phoenix for that year."	There are 3 homicide records reported for Virginia in the 2009 dataset.	incorrect	0.000	-0.655	True	False
34	us_homicide	statistical	integer_count	How many homicide records were reported in Tennessee in 2005?	463	According to the FBI's Uniform Crime Reporting (UCR) Program, there were 468 homicides reported in Tennessee in 2005.	partial	0.828	True	Can you provide a direct link or citation to the specific FBI Uniform Crime Reporting table or publication that confirms the exact number of homicides in Tennessee for 2005, given that various sources report conflicting figures?	"Can you provide the specific FBI Uniform Crime Reporting (UCR) table or publication title that confirms the 468 homicide figure for Tennessee in 2005, and does this total represent ""murder and nonnegligent manslaughter"" as defined by the FBI, or does it include other categories of homicide that might account for discrepancies in state-level reporting?"	"Given that the FBI’s UCR data for 2005 relies on voluntary agency reporting, how many of those 468 homicides were excluded due to ""unfounded"" status or jurisdictional reporting failures, and how does this official total reconcile with the Tennessee Bureau of Investigation’s (TBI) own 2005 crime report, which often utilizes different classification criteria for justifiable versus criminal homicides?"	"Given that the FBI’s UCR data for 2005 relies on voluntary agency reporting, how many of those 468 homicides were excluded due to ""unfounded"" status or jurisdictional reporting failures, and how does this official total reconcile with the Tennessee Bureau of Investigation’s (TBI) own 2005 crime report, which often utilizes different classification criteria for justifiable versus criminal homicides?"	There are 3 homicide records reported for Tennessee in the 2005 dataset.	incorrect	0.000	-0.828	True	False
35	us_homicide	statistical	integer_count	How many homicide records were reported in Georgia in 1995?	660	According to the FBI's Uniform Crime Reporting (UCR) Program, there were 839 homicides reported in Georgia in 1995.	incorrect	1.000	True	Can you provide the specific source or FBI UCR table citation that explains why there are conflicting figures for the number of homicides in Georgia in 1995?	Which specific FBI Uniform Crime Reporting (UCR) table or supplemental dataset accounts for the discrepancy between the 839 homicides reported for Georgia in 1995 and the alternative figures often cited in longitudinal crime research, and what methodology does that source use to reconcile these conflicting totals?	"Given that the FBI’s UCR data for 1995 relies on voluntary agency reporting, how do you reconcile the official count of 839 homicides with the documented 15% reporting gap in Georgia’s rural jurisdictions during that period, and how would excluding these ""non-reporting"" agencies fundamentally alter the state's calculated per-capita homicide rate for that year?"	"Given that the FBI’s UCR data for 1995 relies on voluntary agency reporting, how do you reconcile the official count of 839 homicides with the documented 15% reporting gap in Georgia’s rural jurisdictions during that period, and how would excluding these ""non-reporting"" agencies fundamentally alter the state's calculated per-capita homicide rate for that year?"	The provided dataset context does not state the total number of homicide records for Georgia in 1995; it only lists three specific individual records for that state and year.	hedged_appropriate	0.000	-1.000	False	False
36	us_homicide	statistical	integer_count	How many homicide records were reported in Florida in 2010?	1130	According to the FBI's Uniform Crime Reporting (UCR) Program, there were 1,025 homicides reported in Florida in 2010.	incorrect	0.590	True	Can you provide the specific source or table from the FBI's Uniform Crime Reporting (UCR) data that confirms the exact number of homicides in Florida for 2010, given that different reports cite conflicting figures?	"Which specific FBI Uniform Crime Reporting (UCR) table (e.g., Table 1 or Table 5) provides the official 2010 homicide count for Florida, and how does this figure reconcile the discrepancy between the 1,025 count often cited and the data found in the FBI’s ""Crime in the United States"" annual report for that year?"	"Given that the FBI’s 2010 ""Crime in the United States"" report relies on voluntary agency participation, how many homicides were excluded from that 1,025 figure due to reporting gaps from specific jurisdictions like the Phoenix Police Department (if they had jurisdiction) or major Florida municipal agencies that failed to submit complete monthly data, and what is the estimated ""dark figure"" of unreported homicides for that year?"	"Given that the FBI’s 2010 ""Crime in the United States"" report relies on voluntary agency participation, how many homicides were excluded from that 1,025 figure due to reporting gaps from specific jurisdictions like the Phoenix Police Department (if they had jurisdiction) or major Florida municipal agencies that failed to submit complete monthly data, and what is the estimated ""dark figure"" of unreported homicides for that year?"	There were 1,130 homicide records reported in Florida in 2010.	correct	0.000	-0.590	True	True
37	us_homicide	statistical	integer_count	How many homicide records were reported in New York in 1993?	2511	In 1993, there were 1,946 homicides reported in New York City.	incorrect	0.000	True	How does the FBI UCR count for 1993 compare to the data reported by the NYPD for the same year, and are there any known discrepancies between these two sources?	How do the 1993 Phoenix Police Department homicide statistics reconcile with the FBI Uniform Crime Reporting (UCR) data for that same year, and what specific methodological differences or reporting criteria account for any discrepancies between these two datasets?	"Given that the Phoenix Police Department reported 234 homicides in 1993, but the FBI UCR data for the Phoenix-Mesa Metropolitan Statistical Area often includes jurisdictional overlaps or ""unfounded"" cases, how many of those 234 cases were subsequently reclassified as ""justifiable"" or ""excusable"" homicides, and how does the exclusion of these specific reclassifications from the final UCR submission artificially deflate the city’s violent crime rate compared to the raw PPD internal incident logs?"	"Given that the Phoenix Police Department reported 234 homicides in 1993, but the FBI UCR data for the Phoenix-Mesa Metropolitan Statistical Area often includes jurisdictional overlaps or ""unfounded"" cases, how many of those 234 cases were subsequently reclassified as ""justifiable"" or ""excusable"" homicides, and how does the exclusion of these specific reclassifications from the final UCR submission artificially deflate the city’s violent crime rate compared to the raw PPD internal incident logs?"	There were 2,511 homicide records reported in New York in 1993.	correct	0.000	+0.000	True	True
38	us_homicide	statistical	integer_count	How many homicide records were reported in Louisiana in 2006?	516	According to the FBI's Uniform Crime Reporting (UCR) Program, there were 509 homicides reported in Louisiana in 2006.	incorrect	0.828	True	Can you provide a direct citation or a link to the specific FBI UCR table or report that confirms the exact number of homicides for Louisiana in 2006, given the significant discrepancies in the reported figures?	"Can you provide a direct link or citation to the specific FBI Uniform Crime Reporting (UCR) table that confirms the figure of 509 homicides for Louisiana in 2006, and reconcile this number with the FBI’s ""Crime in the United States"" 2006 report, which indicates 509 murders and non-negligent manslaughters, by clarifying if this total accounts for the post-Hurricane Katrina reporting gaps or if it excludes specific jurisdictions?"	"Given that the 2006 FBI UCR data for Louisiana is widely cited as incomplete due to the systemic collapse of reporting infrastructure in New Orleans following Hurricane Katrina, provide a numerical estimate of how many homicides were likely omitted from the official 509 count, and explain how the FBI’s methodology for ""estimated"" crime statistics accounts for the total absence of reporting from the New Orleans Police Department during that specific calendar year."	"Given that the 2006 FBI UCR data for Louisiana is widely cited as incomplete due to the systemic collapse of reporting infrastructure in New Orleans following Hurricane Katrina, provide a numerical estimate of how many homicides were likely omitted from the official 509 count, and explain how the FBI’s methodology for ""estimated"" crime statistics accounts for the total absence of reporting from the New Orleans Police Department during that specific calendar year."	There are 3 homicide records reported for Louisiana in 2006 within the provided dataset.	incorrect	0.000	-0.828	True	False
39	us_homicide	comparative	exact_weapon	What was the most common weapon used in homicide records from Texas between 2000 and 2009?	Handgun	According to FBI Uniform Crime Reporting (UCR) data for Texas during that period, firearms—specifically handguns—were the most common weapon used in homicides.	correct	0.000	False							0.000	+0.000	False	False
40	us_homicide	comparative	exact_weapon	What was the most common weapon used in homicide records from Michigan between 2000 and 2009?	Handgun	According to FBI Uniform Crime Reporting (UCR) data for Michigan between 2000 and 2009, firearms were the most common weapon used in homicides, accounting for the vast majority of recorded incidents. Specifically, handguns were the most frequently cited type of firearm used during that decade.	correct	0.000	False							0.000	+0.000	False	False
41	us_homicide	comparative	exact_weapon	What was the most common weapon used in homicide records from North Carolina between 2000 and 2009?	Handgun	According to FBI Uniform Crime Reporting (UCR) data for North Carolina during that period, firearms were the most common weapon used in homicides, accounting for the vast majority of cases. Specifically, handguns were the most frequently cited type of firearm used in these incidents.	correct	0.000	False							0.000	+0.000	False	False
42	us_homicide	comparative	exact_weapon	What was the most common weapon used in homicide records from Florida between 1990 and 1999?	Handgun	According to FBI Uniform Crime Reporting (UCR) data for Florida during the 1990s, firearms—specifically handguns—were the most common weapons used in homicides.	correct	0.418	False							0.000	+0.000	False	False
43	us_homicide	comparative	exact_weapon	What was the most common weapon used in homicide records from Georgia between 1990 and 1999?	Handgun	According to FBI Uniform Crime Reporting (UCR) data for Georgia during the 1990s, firearms—specifically handguns—were the most common weapons used in homicides.	correct	0.000	False							0.000	+0.000	False	False
44	us_homicide	comparative	exact_weapon	What was the most common weapon used in homicide records from Florida between 2000 and 2009?	Handgun	According to FBI Uniform Crime Reporting (UCR) data for Florida during the 2000–2009 period, firearms—specifically handguns—were the most common weapons used in homicides.	correct	0.311	False							0.000	+0.000	False	False
45	us_homicide	comparative	exact_weapon	What was the most common weapon used in homicide records from Georgia between 2000 and 2009?	Handgun	According to FBI Uniform Crime Reporting (UCR) data for Georgia between 2000 and 2009, firearms—specifically handguns—were the most common weapons used in homicides.	correct	0.000	False							0.000	+0.000	False	False
46	us_homicide	comparative	exact_weapon	What was the most common weapon used in homicide records from Louisiana between 2000 and 2009?	Handgun	According to FBI Uniform Crime Reporting (UCR) data for Louisiana between 2000 and 2009, firearms were the most common weapon used in homicides, accounting for the vast majority of cases. Specifically, handguns were the most frequently cited type of firearm used during that period.	correct	0.000	False							0.000	+0.000	False	False
47	us_homicide	statistical	percentage	What percentage of homicide records in North Carolina for the year 1997 were marked as solved?	82.7%	I do not have access to the specific clearance rate for North Carolina homicide records for the year 1997. You may be able to find this information by consulting the FBI's Uniform Crime Reporting (UCR) Program data or the North Carolina State Bureau of Investigation's annual crime reports for that year.	hedged_appropriate	0.655	True	Given that national homicide clearance rates for the late 1990s are often cited as hovering between 60% and 70%, can you retrieve the specific 1997 clearance rate for North Carolina from the FBI's Uniform Crime Reporting (UCR) archives to determine if it aligned with these national trends?	According to the FBI’s Uniform Crime Reporting (UCR) data for 1997, what was the specific homicide clearance rate reported for North Carolina, and how does this figure statistically compare to the national average of that same year?	"Excluding cases involving unidentified victims or those where the perpetrator died prior to arrest, how does the 1997 North Carolina homicide clearance rate specifically reported in the FBI’s UCR data reconcile with the discrepancy between ""cleared by arrest"" and ""cleared by exceptional means"" for that year?"	"Excluding cases involving unidentified victims or those where the perpetrator died prior to arrest, how does the 1997 North Carolina homicide clearance rate specifically reported in the FBI’s UCR data reconcile with the discrepancy between ""cleared by arrest"" and ""cleared by exceptional means"" for that year?"	Based on the provided records for North Carolina in 1997, one out of three records is marked as solved, resulting in a solved rate of 33.3%.	incorrect	0.000	-0.655	True	False
48	us_homicide	statistical	percentage	What percentage of homicide records in New York for the year 1996 were marked as solved?	46.9%	I do not have access to the specific clearance rate for New York City homicides in 1996. While historical data indicates that NYC homicide clearance rates generally fluctuated between 60% and 70% during the mid-1990s, I cannot provide the exact percentage for that specific year.	hedged_appropriate	0.000	True	Given that the NYPD reported 983 murders in 1996, what is the total number of homicides from that year that were officially classified as cleared or solved according to historical NYPD or FBI Uniform Crime Reporting data?	According to the 1996 FBI Uniform Crime Reporting (UCR) data or the NYPD’s official annual report for that year, what was the exact number of homicides cleared, and what specific clearance rate percentage does that represent relative to the 983 total murders recorded?	"Given that the NYPD’s 1996 annual report documents 983 murders, how do you reconcile the official clearance rate reported for that year with the fact that the FBI’s Uniform Crime Reporting (UCR) program uses a different methodology for ""exceptional clearances,"" and does this discrepancy suggest that the reported success rate is statistically inflated by cases closed through means other than an arrest?"	"Given that the NYPD’s 1996 annual report documents 983 murders, how do you reconcile the official clearance rate reported for that year with the fact that the FBI’s Uniform Crime Reporting (UCR) program uses a different methodology for ""exceptional clearances,"" and does this discrepancy suggest that the reported success rate is statistically inflated by cases closed through means other than an arrest?"	The provided dataset context does not contain the specific solved percentage for New York in 1996; it only provides the overall national solved rate of 69.0%.	hedged_appropriate	0.828	+0.828	False	False
49	us_homicide	statistical	percentage	What percentage of homicide records in Georgia for the year 2003 were marked as solved?	64.4%	I do not have the specific clearance rate for Georgia homicide records for the year 2003. Crime statistics for that year are typically archived in the FBI's Uniform Crime Reporting (UCR) program, but I cannot provide an exact percentage without access to that specific dataset.	hedged_appropriate	0.828	True	If the FBI's Uniform Crime Reporting (UCR) program is the primary source for this data, what specific steps or search parameters would a researcher use to retrieve the 2003 homicide clearance rate for Georgia from those archives?	According to the FBI’s Uniform Crime Reporting (UCR) Supplementary Homicide Reports (SHR) for 2003, what was the specific clearance rate for homicides in Phoenix, Arizona, and how does this figure account for cases where the victim-offender relationship was unknown?	"Given that the FBI’s 2003 Supplementary Homicide Reports (SHR) for Phoenix often categorized a significant portion of cases as ""relationship unknown,"" how does the official clearance rate fluctuate if you exclude all cases where the victim-offender relationship remained unidentified, and does this adjusted percentage suggest a systemic bias in how Phoenix police departments prioritized case closure during that specific year?"	"Given that the FBI’s 2003 Supplementary Homicide Reports (SHR) for Phoenix often categorized a significant portion of cases as ""relationship unknown,"" how does the official clearance rate fluctuate if you exclude all cases where the victim-offender relationship remained unidentified, and does this adjusted percentage suggest a systemic bias in how Phoenix police departments prioritized case closure during that specific year?"	The provided dataset context does not specify the solved percentage for Georgia in 2003; it only provides an overall national solved rate of 68.0%.	hedged_appropriate	0.000	-0.828	False	False
50	us_homicide	statistical	percentage	What percentage of homicide records in Louisiana for the year 1999 were marked as solved?	73.4%	I do not have access to a specific, verified dataset for the 1999 Louisiana homicide clearance rate. Consequently, I cannot provide an accurate percentage for that year.	hedged_appropriate	0.311	True	Given that the FBI's Uniform Crime Reporting (UCR) Program collects this data, can you explain why you are unable to retrieve or provide the specific homicide clearance statistics for Louisiana in 1999 from those archives?	According to the FBI’s Uniform Crime Reporting (UCR) Supplementary Homicide Reports for 1999, what was the specific homicide clearance rate for the Phoenix Police Department, and how does this figure reconcile with the broader national clearance trends reported for that same year?	"Given that the Phoenix Police Department reported a 68% homicide clearance rate in 1999, how does this figure account for the ""exceptionally cleared"" cases involving suspects who were identified but never arrested, and why does this specific clearance rate diverge significantly from the national trend of 69.4% despite Phoenix’s then-surging population growth?"	"Given that the Phoenix Police Department reported a 68% homicide clearance rate in 1999, how does this figure account for the ""exceptionally cleared"" cases involving suspects who were identified but never arrested, and why does this specific clearance rate diverge significantly from the national trend of 69.4% despite Phoenix’s then-surging population growth?"	The provided dataset context does not contain the specific percentage of solved homicide records for Louisiana in 1999.	hedged_appropriate	0.311	+0.000	False	False
51	us_homicide	statistical	percentage	What percentage of homicide records in Georgia for the year 2008 were marked as solved?	67.2%	I do not have access to a specific, verified dataset confirming the exact clearance rate for Georgia homicides in 2008. Generally, FBI Uniform Crime Reporting (UCR) data for that year indicates that the national homicide clearance rate was approximately 64%, but state-specific figures for that year are not readily available in my internal knowledge base.	hedged_appropriate	0.828	True	Where can a researcher specifically access the archival FBI Uniform Crime Reporting (UCR) data or Georgia Bureau of Investigation (GBI) reports for 2008 to verify state-level homicide clearance rates, given that aggregate national data is insufficient?	According to the 2008 FBI Uniform Crime Reporting (UCR) Supplementary Homicide Reports (SHR), what was the specific clearance rate for homicides reported by law enforcement agencies in Phoenix, Arizona, and how does this figure compare to the aggregate clearance rate for the state of Arizona during that same calendar year?	"Considering the Phoenix Police Department's specific reporting practices in 2008, how does the clearance rate for homicides involving ""stranger"" relationships compare to those involving ""known"" acquaintances, and does this data account for the high volume of ""exceptionally cleared"" cases that were ultimately excluded from the standard FBI UCR arrest-based clearance metric for that year?"	"Considering the Phoenix Police Department's specific reporting practices in 2008, how does the clearance rate for homicides involving ""stranger"" relationships compare to those involving ""known"" acquaintances, and does this data account for the high volume of ""exceptionally cleared"" cases that were ultimately excluded from the standard FBI UCR arrest-based clearance metric for that year?"	The provided dataset context does not contain the specific solved percentage for Georgia in 2008; it only provides the national solved rate of 67.6%.	hedged_appropriate	0.000	-0.828	True	False
52	us_homicide	statistical	percentage	What percentage of homicide records in Louisiana for the year 2005 were marked as solved?	77.4%	I do not have access to a specific, verified dataset confirming the exact clearance rate for Louisiana homicides in 2005. Generally, state-level clearance rates for that year were significantly impacted by the displacement and administrative disruptions caused by Hurricane Katrina.	hedged_appropriate	0.311	True	Could you identify which specific law enforcement agencies or jurisdictions in Louisiana were most responsible for the gaps in 2005 crime reporting, and are there any partial datasets or FBI Uniform Crime Reporting (UCR) summaries that provide at least an estimate for the state's clearance rate during that period?	Based on FBI Uniform Crime Reporting (UCR) data for 2005, which specific Louisiana jurisdictions reported a complete failure to submit homicide clearance data due to Hurricane Katrina, and what is the estimated statewide clearance rate when accounting for the missing reports from the New Orleans Police Department?	"Excluding the New Orleans Police Department's data entirely, how does the 2005 statewide homicide clearance rate for the remaining Louisiana jurisdictions compare to the national average, and to what extent does this ""clean"" subset statistically contradict the narrative that the state’s low clearance rate was driven solely by Katrina-related administrative collapse?"	"Excluding the New Orleans Police Department's data entirely, how does the 2005 statewide homicide clearance rate for the remaining Louisiana jurisdictions compare to the national average, and to what extent does this ""clean"" subset statistically contradict the narrative that the state’s low clearance rate was driven solely by Katrina-related administrative collapse?"	Based on the provided records for Louisiana in 2005, two out of the three homicide records are marked as solved, resulting in a solved rate of 66.7%.	incorrect	0.000	-0.311	True	False
53	us_homicide	comparative	exact_relationship	In California, what is the most common known victim-perpetrator relationship in the homicide records?	Stranger	"In California homicide records, the most common known victim-perpetrator relationship is ""acquaintance."" Data consistently shows that the vast majority of homicides involve individuals who knew each other, rather than strangers."	incorrect	0.000	True	"When accounting for the high volume of homicides classified as having an ""unknown"" relationship, how does the statistical prevalence of ""acquaintance"" compare to the total number of cases where the perpetrator's identity or relationship to the victim remains unidentified?"	"When excluding cases where the perpetrator remains unidentified, does the statistical frequency of ""acquaintance"" as a victim-perpetrator relationship in Phoenix homicide data exceed the combined total of cases where the perpetrator is classified as a ""stranger"" or ""unknown relationship,"" and how does this margin shift when accounting for cold cases?"	"When excluding all cases where the perpetrator is classified as an ""acquaintance"" or ""family member,"" does the statistical frequency of ""stranger-perpetrated"" homicides in Phoenix show a higher correlation with specific high-density urban zones compared to the spatial distribution of ""unknown relationship"" cases, and how does this margin shift when accounting for the clearance rate disparity between these two categories over the last decade?"	"When excluding all cases where the perpetrator is classified as an ""acquaintance"" or ""family member,"" does the statistical frequency of ""stranger-perpetrated"" homicides in Phoenix show a higher correlation with specific high-density urban zones compared to the spatial distribution of ""unknown relationship"" cases, and how does this margin shift when accounting for the clearance rate disparity between these two categories over the last decade?"	"Based on the provided records for California, the most common known victim-perpetrator relationship is ""Stranger."""	correct	0.000	+0.000	True	True
54	us_homicide	comparative	exact_relationship	In Texas, what is the most common known victim-perpetrator relationship in the homicide records?	Acquaintance	"In Texas homicide records, the most common known victim-perpetrator relationship is ""acquaintance."" This category consistently accounts for the largest share of homicides where the relationship between the parties is identified."	correct	0.655	False							0.000	+0.000	False	False
55	us_homicide	comparative	exact_relationship	In New York, what is the most common known victim-perpetrator relationship in the homicide records?	Stranger	"In New York City homicide records, the most common known victim-perpetrator relationship is ""acquaintance."" Statistics consistently show that the majority of homicides involve individuals who knew each other prior to the incident, rather than strangers."	incorrect	0.000	True	"What percentage of New York City homicide cases are classified as ""unknown"" regarding the victim-perpetrator relationship, and how does this high volume of unknown cases impact the statistical certainty that ""acquaintance"" is the most common relationship?"	"Given that a significant portion of Phoenix homicide data often lists the victim-perpetrator relationship as ""unknown,"" what is the specific percentage of such cases in the most recent annual report, and how does this volume of missing data challenge the statistical validity of the claim that ""acquaintance"" is the most frequent relationship?"	"If the Phoenix Police Department’s most recent annual report categorizes over 40% of homicide cases as ""relationship unknown,"" how does this statistical void invalidate the claim that ""acquaintance"" is the most common relationship, and what specific percentage of the remaining ""known"" cases must be reclassified to prove that homicides by strangers are actually the dominant category?"	"If the Phoenix Police Department’s most recent annual report categorizes over 40% of homicide cases as ""relationship unknown,"" how does this statistical void invalidate the claim that ""acquaintance"" is the most common relationship, and what specific percentage of the remaining ""known"" cases must be reclassified to prove that homicides by strangers are actually the dominant category?"	"Based on the provided records for New York, the most common known victim-perpetrator relationship is ""Unknown."""	incorrect	0.418	+0.418	True	False
56	us_homicide	comparative	exact_relationship	In Florida, what is the most common known victim-perpetrator relationship in the homicide records?	Stranger	"In Florida homicide records, the most common known victim-perpetrator relationship is ""acquaintance."" Statistics consistently show that the vast majority of homicides involve individuals who knew one another prior to the incident, rather than strangers."	incorrect	0.418	True	"According to the Florida Department of Law Enforcement’s most recent Uniform Crime Report, how do the specific annual percentages of homicides involving ""acquaintances"" compare to those involving ""strangers"" and ""family members,"" and does the ranking of these categories remain consistent across the last five years of data?"	"Based on the most recent five years of Florida Department of Law Enforcement Uniform Crime Report data, how do the annual percentage rankings of ""acquaintance,"" ""stranger,"" and ""family member"" victim-perpetrator relationships compare, and has the hierarchy of these categories remained statistically stable throughout that period?"	"Excluding all cases involving domestic violence or intimate partner conflict, how does the statistical prevalence of ""acquaintance"" versus ""stranger"" homicides in Phoenix shift when accounting only for incidents occurring in public spaces between 10:00 PM and 4:00 AM?"	"Excluding all cases involving domestic violence or intimate partner conflict, how does the statistical prevalence of ""acquaintance"" versus ""stranger"" homicides in Phoenix shift when accounting only for incidents occurring in public spaces between 10:00 PM and 4:00 AM?"	"Based on the provided records for Florida, the most common known victim-perpetrator relationship is ""Unknown."""	incorrect	0.000	-0.418	True	False
